id,caller_phone,receiver_phone,timestamp,duration_seconds,tower_location,call_type
CDR001,9876543210,9988776655,2026-09-05T09:12:00,340,Indiranagar,voice
CDR002,9988776655,9876543210,2026-09-05T18:40:00,120,Whitefield,voice
CDR003,9876543210,9112233445,2026-09-06T08:00:00,60,MG Road,voice
CDR004,9765432109,9123456780,2026-09-01T14:22:00,500,Koramangala,voice
CDR005,9887766554,9765432109,2026-08-28T11:10:00,200,Koramangala,voice
CDR006,9332211009,9123456780,2026-08-25T16:05:00,150,MG Road,voice
CDR007,9988776655,9345678901,2026-07-19T10:00:00,420,Whitefield,voice
CDR008,9556677889,9345678901,2026-07-15T09:30:00,180,Marathahalli,voice
CDR009,9556677889,9988776655,2026-07-16T19:00:00,90,Whitefield,voice
CDR010,9001122334,9334455667,2026-06-20T20:00:00,600,Jayanagar,voice
CDR011,9334455667,9554433221,2026-08-20T12:00:00,240,Banashankari,voice
CDR012,9445566778,9001122334,2026-05-14T17:45:00,300,Jayanagar,voice
CDR013,9445566778,9223344556,2026-08-10T13:00:00,360,HSR Layout,voice
CDR014,9443322110,9445566778,2026-08-11T09:15:00,210,HSR Layout,voice
CDR015,9776655443,9665544332,2026-07-28T21:00:00,480,Electronic City,voice
CDR016,9665544332,9776655443,2026-07-29T08:10:00,130,Electronic City,voice
CDR017,9887711223,9776612345,2026-08-15T22:00:00,700,Rajajinagar,voice
CDR018,9776612345,9665511224,2026-08-16T22:30:00,550,Rajajinagar,voice
CDR019,9887711223,9665511224,2026-08-17T23:00:00,200,Rajajinagar,voice
CDR020,9332211009,9887711223,2026-08-14T20:00:00,310,Rajajinagar,voice
CDR021,9876543210,9000011122,2026-09-08T23:50:00,45,Indiranagar,voice
CDR022,9000011122,9988776655,2026-09-09T00:05:00,30,Whitefield,voice
CDR023,9776612345,9000099887,2026-08-19T21:00:00,15,Rajajinagar,sms
CDR024,9876543210,9988776655,2026-09-07T07:50:00,200,Indiranagar,voice
CDR025,9988776655,9876543210,2026-09-08T21:10:00,10,Whitefield,sms
CDR026,9001122334,9334455667,2026-06-25T09:00:00,400,Jayanagar,voice
CDR027,9776655443,9665544332,2026-07-30T10:00:00,10,Electronic City,sms
CDR028,9887711223,9776612345,2026-08-18T22:10:00,500,Rajajinagar,voice
